id, seller_username, seller_address, buyer_username, buyer_address, time
1,BoredApeYachtClub,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,gordongoner,0x46efbaedc92067e6d60e84ed6395099723252496,2021-04-30T21:11:46
2,BoredApeYachtClub,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,TheRealSass,0xc5c7b46843014b1591e9af24de797156cde67f08,2021-04-30T21:13:01
3,BoredApeYachtClub,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,,0x03546b22bc80b3e6b64c4445963d981250267a68,2021-04-30T21:13:01
4,BoredApeYachtClub,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,0xWave,0x33569c101562e1faf5b24581057e5cee4c8288d7,2021-05-01T19:43:44
5,JohnDaoold,0xe1d48ddae2b01ef094c1fdb838b8752f4f40cf8b,ElderVault,0xfc695d9b7bed4325e0845b71066b2fbb0eb2d6ef,2022-03-08T21:10:10
5,ChamomileNFT,0x3adab8f367e4e7dfb8a566e8dac03b9e4819777c,JohnDaoold,0xe1d48ddae2b01ef094c1fdb838b8752f4f40cf8b,2021-12-06T00:32:55
5,ChamomileTea344,0xed7c0117d7d35850d71e2a3f390972406f8d5d46,ChamomileNFT,0x3adab8f367e4e7dfb8a566e8dac03b9e4819777c,2021-07-17T20:18:24
5,BoredApeYachtClub,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,ChamomileTea344,0xed7c0117d7d35850d71e2a3f390972406f8d5d46,2021-05-02T01:39:59
6,just4sales,0x5cb68cd0d285a907b927a7db534d89718addfd86,,0x465092bbe4ca9675c1cf9c7bf2620b2eefc77e25,2021-12-22T19:28:34
6,,0xc310e760778ecbca4c65b6c559874757a4c4ece0,just4sales,0x5cb68cd0d285a907b927a7db534d89718addfd86,2021-12-22T19:26:32
6,ajjaffy_vault,0x2c2ed4b3876c442fee80bee76ce0ee2ca2a512af,,0xc310e760778ecbca4c65b6c559874757a4c4ece0,2021-12-22T19:23:15
6,ModeratsArt,0xf52393e120f918ffba50410b90a29b1f8250c879,ajjaffy_vault,0x2c2ed4b3876c442fee80bee76ce0ee2ca2a512af,2021-12-22T19:16:09
6,Tet,0x898c4607809945b49d65ea51580101798931b241,ModeratsArt,0xf52393e120f918ffba50410b90a29b1f8250c879,2021-06-21T15:56:28
6,BoredApeYachtClub,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,Tet,0x898c4607809945b49d65ea51580101798931b241,2021-05-02T01:41:01
7,RDL,0x9bd91abdf39a167712b9f6c24d1c9805d5fb9242,e80a,0x85e4971f80f1644f78b1c41e5d880cb56d4de80a,2021-07-06T23:41:09
7,BoredApeYachtClub,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,RDL,0x9bd91abdf39a167712b9f6c24d1c9805d5fb9242,2021-05-02T01:42:06
8,bmouse-,0x357931791284f40765b462aa7ad217ebf82920cb,artNFTcomVAULT,0x5cbc5413637343eaab0784522c95b4686f5e96fd,2022-04-15T13:07:49
8,artNFTcomVAULT,0x5cbc5413637343eaab0784522c95b4686f5e96fd,bmouse-,0x357931791284f40765b462aa7ad217ebf82920cb,2022-04-15T12:53:48
8,bmouse-,0x357931791284f40765b462aa7ad217ebf82920cb,artNFTcomVAULT,0x5cbc5413637343eaab0784522c95b4686f5e96fd,2022-03-20T14:19:33
8,BoredApeYachtClub,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,bmouse-,0x357931791284f40765b462aa7ad217ebf82920cb,2021-05-02T01:44:59
9,bmouse-,0x357931791284f40765b462aa7ad217ebf82920cb,degenappa,0xb4ad833d6f3b3c4426fea59ded207a952087f47c,2022-04-02T09:26:11
9,Snob,0xfd1b8d2b036f7c78a794be2c6f9ba4de698459e8,bmouse-,0x357931791284f40765b462aa7ad217ebf82920cb,2021-06-11T08:04:33
9,,0xc310e760778ecbca4c65b6c559874757a4c4ece0,Snob,0xfd1b8d2b036f7c78a794be2c6f9ba4de698459e8,2021-06-11T07:07:41
9,Snob,0xfd1b8d2b036f7c78a794be2c6f9ba4de698459e8,,0xc310e760778ecbca4c65b6c559874757a4c4ece0,2021-06-11T07:01:23
9,Crypto-Tiger,0x4c6b83ca1c59781fab57790a46281bbd93e539fe,Snob,0xfd1b8d2b036f7c78a794be2c6f9ba4de698459e8,2021-05-28T04:02:03
9,D420BX,0xf0fc2f35dabb294ce51e5be211d19c6de6cb44ae,Crypto-Tiger,0x4c6b83ca1c59781fab57790a46281bbd93e539fe,2021-05-25T17:56:54
9,BoredApeYachtClub,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,D420BX,0xf0fc2f35dabb294ce51e5be211d19c6de6cb44ae,2021-05-02T01:45:22
10,FeldVault,0x6b92686c40747c85809a6772d0eda8e22a77c60c,Feld4014,0xc883a79e8e4594c4f89434edb754a10da2311139,2022-02-02T04:39:37
10,jhachik,0x1d3a44f4ac3a7f603c58c0d8e4a4749ea1757af8,FeldVault,0x6b92686c40747c85809a6772d0eda8e22a77c60c,2022-02-02T02:56:00
10,Ape10,0xd33bc4ab17ad58626fa74a8286d610ea16e731d8,jhachik,0x1d3a44f4ac3a7f603c58c0d8e4a4749ea1757af8,2022-01-10T15:07:12
10,jhachik,0x1d3a44f4ac3a7f603c58c0d8e4a4749ea1757af8,Ape10,0xd33bc4ab17ad58626fa74a8286d610ea16e731d8,2021-12-05T14:51:09
10,Ape10,0xd33bc4ab17ad58626fa74a8286d610ea16e731d8,jhachik,0x1d3a44f4ac3a7f603c58c0d8e4a4749ea1757af8,2021-12-04T15:22:03
10,jhachik,0x1d3a44f4ac3a7f603c58c0d8e4a4749ea1757af8,Ape10,0xd33bc4ab17ad58626fa74a8286d610ea16e731d8,2021-11-27T10:24:05
10,,0x893a3701952f0ee5782d9e8b7b08f375a7e1cffb,jhachik,0x1d3a44f4ac3a7f603c58c0d8e4a4749ea1757af8,2021-11-15T20:47:36
10,benjamin,0x9ee5e3ff06425cf972e77c195f70ecb18ac23d7f,,0x893a3701952f0ee5782d9e8b7b08f375a7e1cffb,2021-11-15T19:29:33
10,Captain_America,0xb905576a1d9bff3b7f3a69764913037ea18f01da,benjamin,0x9ee5e3ff06425cf972e77c195f70ecb18ac23d7f,2021-10-27T15:30:28
10,BoredApeYachtClub,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,Captain_America,0xb905576a1d9bff3b7f3a69764913037ea18f01da,2021-09-14T20:03:17
11,,0x70dddc40c1dbff6d3d200148037e720ee61c2d9e,E11NFT,0x4e613d6ab29892cd14544dc600b5cc301f371e20,2021-12-22T20:59:34
11,ajjaffy_vault,0x2c2ed4b3876c442fee80bee76ce0ee2ca2a512af,,0x70dddc40c1dbff6d3d200148037e720ee61c2d9e,2021-12-22T20:38:05
